tsa,year,vcut,abrn,cflw_acut_e,cflw_vcut_e,cgen_vcut_e,cgen_abrn_e
tsa08,2020,1600000,12964,0.01,0.01,0.01,0.01
tsa16,2020,1800000,1262,0.01,0.01,0.01,0.01
tsa24,2020,4000000,494,0.01,0.01,0.01,0.01
tsa40,2020,2000000,1632,0.01,0.01,0.01,0.01    
tsa41,2020,1200000,336,0.01,0.01,0.01,0.01
